Название товара	Душевая кабина ESBANO-115C RIGHT
Описание товара	Описание товара, , - низкий (15 см) акриловый поддон, , - сифон с гидрозатвором, , - задние стекла: закаленное крашеное стекло (белое, 5 мм), , - передние стекла: закаленное рифленое стекло (5 мм), , - профиль матовый хром, , - смеситель, , - душевая многофункциональная лейка, , - штанга с держателем и мыльницей, , - большое зеркало с фацетом 69х38, , - стеклянная полочка (65 см) с отверстием под стакан и ограничителем, , - стеклянный стакан, , - двойные (спаренные) верхние ролики, , РАЗМЕР: 115х85х210 см
Цена в рублях	44625
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Santechnika.su
Количество отзывов	0
Тип	Душевая кабина
Длина, см	115
Ширина, см	85
Высота, см	210
Толщина стекла, мм	5
Стекло	Матовое
Страна-изготовитель	Испания
Цвет	Матовый белый
Ориентация установки	Правосторонняя
Материал поддона	Акрил
Цвет фурнитуры	Серебристый
Бренд	Esbano
Цвет стенки	Белый
Двери	Раздвижные в стороны
Гарантия	1 год
Число дверей	2
Материал задней стенки	Закаленное стекло
Высота поддона	Низкий
Материал дверей	Закаленное стекло
Форма	Нестандартная
Адрес товара	https://www.ozon.ru/product/287294109?oos_search=false
Статус 	Закончился
