Название товара	Душевая кабина Parly EBM92
Описание товара	Душевая кабина EBM92., , Размер: 90х90х215 см., , Особенности:, Стекло: закаленное, противоосколочное, ударопрочное, матовое, 4 мм., Стенки: закаленное, закаленное, противоосколочное, ударопрочное, белое., Профиль: белый, алюминиевый., Центральная панель белая., Поддон: средний, 26 см, полукруглый, с бортиком (система аквастоп).Материал - АБС пластик, армирован стекловолокном. Дополнительная ножка конструкции. Противоскользящее покрытие. Съёмный передний экран на защелках., Комплектация: смеситель, верхний душ ТРОПИК, ручной душ, сифон., Магнитные уплотнители двери под 45°., Соединение без болтовое. Дополнительные силиконовые уплотнители., Двери раздвижные, на роликах. Нижние ролики на клипсе с механизмом отстегивания. Силиконовые водоотсекатели., Душевая кабина отлично подходит для дачи и квартиры., , Преимущества модели: экономия пространства, вместительность, безопасное стекло, плавное бесшумное открывание дверей, простая регулировка дверей, повышенная герметичность, легкий доступ к стеклу и профилю для очистки. Высота поддона 26 см - золотая середина!
Цена в рублях	36000
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	900х900х2150
Высота поддона	Средний
Материал дверей	Закаленное стекло
Форма	Четверть круга
Материал задней стенки	Стекло
Монтаж	Напольный
Бренд	Parly
Гарантия	1 год
Двери	Раздвижные в стороны
Цвет стенки	Белый
Число дверей	2
Установлено	Верхний душ
Ориентация установки	Универсальная
Материал поддона	ABS пластик
Адрес товара	https://www.ozon.ru/product/301104557?oos_search=false
Статус 	Закончился
