Название товара	NARA 120/80/26 МТ L
Описание товара	Конструкция, , Закрытая, с крышей., , Душ, , Ручной душ на гибком шланге с держателем., , Верхний душ в крыше, так называемый тропический., , Стекло (двери), , закаленное, которым невозможно пораниться в случае его повреждения., , Внутри оно гладкое, а снаружи рифленое, что придает матовость, то есть если и будет что-то видно, то только силуэт., , В комплекте силиконовые уплотнители с магнитами, позволяют дверям плотно закрываться между собой, , Задняя стенка, , Закаленное, безопасное стекло., , Поддон, , Акриловый поддон усилен металлической рамой с регулируемыми ножками, что позволит выдержать вес не менее 200 кг., , Акрил менее всего подвержен внешним факторам, менее всего подвержен впитыванию грязи в материал, он с антискользящим покрытием. В случаее появления царапин его легко можно отшлифовать., , Экран поддона(лицевая часть) съемный, в случае протечки, можно легко снять лицевую часть поддона и устранить неполадки., , Высота поддона (внешняя)  24 см. глубина (внутренняя) 10 см. , , Ролики, , Прочные, металлические ролики, , Размеры:, , Габариты душевой кабины в собранном состоянии (указаны внешние габариты) : 120х80х210 см., , (от пола и до самой верхней точки), , В комплекте так же:, , Все что Вы видите на картинке, все входит в комплектацию: полочка, смеситель, инструкция по сборке, силиконовые уплотнители, сифон с гофра-трубой., , Для самостоятельной сборки потребуется: силиконовый герметик, желательно антибактериальный, прозрачный а так же 2 шланга подводки холодной и горячей воды., Показать полностью
Цена в рублях	38300
Цена без скидки	-
Оценка покупателей	80%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	210
Толщина стекла, мм	4
Стекло	Матовое
Страна-изготовитель	Россия
Цвет	Белый-серебристый-белый
Размеры, мм	1200х800х2100
Двери	Раздвижные в стороны
Материал дверей	Закаленное стекло
Бренд	River
Гарантия	1 год
Цвет фурнитуры	Серебристый
Материал поддона	Акрил
Форма	Нестандартная
Ориентация установки	Левосторонняя
Высота поддона	Средний
Число дверей	2
Материал задней стенки	Закаленное стекло
Цвет стенки	Белый
Адрес товара	https://www.ozon.ru/product/288518396?oos_search=false
Статус 	Закончился
